（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和7年5月29日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
鳥取地区,鳥取市北部,53342129,100,129,
鳥取地区,鳥取市北部,53342130,93,120,
鳥取地区,鳥取市北部,53342131,100,－,
鳥取地区,鳥取市北部,53342132,100,－,
鳥取地区,鳥取市北部,53342133,100,－,
鳥取地区,鳥取市北部,53342134,100,－,
鳥取地区,鳥取市北部,53342135,89,115,
鳥取地区,鳥取市北部,53342136,95,122,
鳥取地区,鳥取市北部,53342137,94,121,
鳥取地区,鳥取市北部,53342138,99,128,
鳥取地区,鳥取市北部,53342139,99,128,
鳥取地区,鳥取市北部,53342143,100,－,
鳥取地区,鳥取市北部,53342144,89,115,
鳥取地区,鳥取市北部,53342145,89,115,
鳥取地区,鳥取市北部,53342146,89,115,
鳥取地区,鳥取市北部,53342147,100,－,
鳥取地区,鳥取市北部,53342148,100,－,
鳥取地区,鳥取市北部,53342149,99,127,
鳥取地区,鳥取市北部,53342154,100,－,
鳥取地区,鳥取市北部,53342155,100,－,
鳥取地区,鳥取市北部,53342156,100,－,
鳥取地区,鳥取市北部,53342157,100,－,
鳥取地区,鳥取市北部,53342158,100,－,
鳥取地区,鳥取市北部,53342159,93,120,
鳥取地区,鳥取市北部,53342169,100,－,
鳥取地区,鳥取市北部,53342200,99,128,
鳥取地区,鳥取市北部,53342201,109,141,
鳥取地区,鳥取市北部,53342202,113,146,
鳥取地区,鳥取市北部,53342203,113,146,
鳥取地区,鳥取市北部,53342204,113,146,
鳥取地区,鳥取市北部,53342205,113,146,
鳥取地区,鳥取市北部,53342210,101,130,
鳥取地区,鳥取市北部,53342211,109,141,
鳥取地区,鳥取市北部,53342212,113,146,
鳥取地区,鳥取市北部,53342213,113,146,
鳥取地区,鳥取市北部,53342214,113,145,
鳥取地区,鳥取市北部,53342215,113,146,
鳥取地区,鳥取市北部,53342220,99,128,
鳥取地区,鳥取市北部,53342221,109,141,
鳥取地区,鳥取市北部,53342222,113,146,
鳥取地区,鳥取市北部,53342223,113,145,
鳥取地区,鳥取市北部,53342224,113,145,
鳥取地区,鳥取市北部,53342225,108,139,
鳥取地区,鳥取市北部,53342230,99,128,
鳥取地区,鳥取市北部,53342231,109,141,
鳥取地区,鳥取市北部,53342232,113,146,
鳥取地区,鳥取市北部,53342233,113,146,
鳥取地区,鳥取市北部,53342234,112,144,
鳥取地区,鳥取市北部,53342235,113,145,
鳥取地区,鳥取市北部,53342240,99,128,
鳥取地区,鳥取市北部,53342241,109,141,
鳥取地区,鳥取市北部,53342242,109,141,
鳥取地区,鳥取市北部,53342243,109,140,
鳥取地区,鳥取市北部,53342244,108,139,
鳥取地区,鳥取市北部,53342250,95,122,
鳥取地区,鳥取市北部,53342251,109,140,
鳥取地区,鳥取市北部,53342252,109,141,
鳥取地区,鳥取市北部,53342253,109,141,
鳥取地区,鳥取市北部,53342260,93,120,
鳥取地区,鳥取市北部,53342261,99,127,
鳥取地区,鳥取市北部,53342262,100,129,
鳥取地区,鳥取市北部,53342263,101,130,
鳥取地区,鳥取市北部,53342271,94,121,
鳥取地区,鳥取市北部,53342272,95,123,
鳥取地区,鳥取市北部,53342281,95,－,
鳥取地区,岩美町,53341277,93,120,
鳥取地区,岩美町,53341286,96,124,
鳥取地区,岩美町,53341287,97,125,
鳥取地区,岩美町,53341288,102,131,
鳥取地区,岩美町,53341296,95,123,
鳥取地区,岩美町,53341297,96,124,
鳥取地区,岩美町,53341298,101,130,
鳥取地区,岩美町,53341299,102,131,
鳥取地区,岩美町,53341374,103,133,
鳥取地区,岩美町,53341384,102,131,
鳥取地区,岩美町,53341392,99,128,
鳥取地区,岩美町,53341393,99,128,
鳥取地区,岩美町,53342206,99,128,
鳥取地区,岩美町,53342207,101,130,
鳥取地区,岩美町,53342208,101,130,
鳥取地区,岩美町,53342209,102,131,
鳥取地区,岩美町,53342216,104,134,
鳥取地区,岩美町,53342217,100,129,
鳥取地区,岩美町,53342218,100,129,
鳥取地区,岩美町,53342219,97,125,
鳥取地区,岩美町,53342226,103,133,
鳥取地区,岩美町,53342227,99,128,
鳥取地区,岩美町,53342228,100,129,
鳥取地区,岩美町,53342229,96,124,
鳥取地区,岩美町,53342236,103,133,
鳥取地区,岩美町,53342237,99,128,
鳥取地区,岩美町,53342238,99,128,
鳥取地区,岩美町,53342239,95,123,
鳥取地区,岩美町,53342245,107,138,
鳥取地区,岩美町,53342246,99,128,
鳥取地区,岩美町,53342247,99,128,
鳥取地区,岩美町,53342248,99,128,
鳥取地区,岩美町,53342249,91,117,
鳥取地区,岩美町,53342254,109,141,
鳥取地区,岩美町,53342255,99,128,
鳥取地区,岩美町,53342256,100,129,
鳥取地区,岩美町,53342257,100,129,
鳥取地区,岩美町,53342258,101,130,
